Time,Tk,R
374,"21,7890548","17,5229816"
375,"21,8010005","17,5226917"
376,"21,8044548","17,5233669"
377,"21,7912406","17,5231781"
378,"21,7884998","17,5228061"
379,"21,7863807","17,5225658"
380,"21,7885875","17,5226306"
381,"21,7840099","17,523365"
382,"21,7999572","17,5230159"
383,"21,7983913","17,5232582"
384,"21,7907543","17,5228748"
385,"21,7657814","17,5225372"
386,"21,7612037","17,5227413"
387,"21,7502269","17,5225391"
388,"21,7467689","17,5233478"
389,"21,7579021","17,5227165"
390,"21,7770404","17,5226898"
391,"21,7735881","17,5230007"
392,"21,7749271","17,5224971"
393,"21,764841","17,5222454"
394,"21,7642002","17,5224037"
395,"21,7599716","17,5220413"
396,"21,7527542","17,5224647"
397,"21,7592372","17,5226974"
398,"21,7420196","17,5229072"
399,"21,7335319","17,5222225"
400,"21,7089576","17,5222702"
401,"21,6916255","17,522377"
402,"21,686098","17,5222473"
403,"21,6903762","17,5223674"
404,"21,687685","17,5222892"
405,"21,6905498","17,5218276"
406,"21,6908206","17,5224628"
407,"21,6964149","17,5227088"
408,"21,6973075","17,5230846"
409,"21,6895503","17,523159"
410,"21,6679973","17,5228843"
411,"21,6589736","17,5231399"
412,"21,6449527","17,5227584"
413,"21,6400337","17,5226135"
414,"21,6369762","17,522541"
415,"21,660799","17,5228233"
416,"21,6658306","17,5222892"
417,"21,6617641","17,5230102"
418,"21,6650447","17,5230922"
419,"21,6902866","17,522665"
420,"21,6941947","17,5231323"
421,"21,7092914","17,5227622"
422,"21,7155399","17,5231838"
423,"21,7225017","17,523283"
424,"21,7268333","17,5229949"
425,"21,7273483","17,5230178"
426,"21,731718","17,5227088"
427,"21,7269535","17,5233001"
428,"21,7355861","17,5230731"
429,"21,7268581","17,5228748"
430,"21,7093009","17,5230274"
431,"21,7094097","17,5233631"
432,"21,7315464","17,5237121"
433,"21,7425651","17,5238647"
434,"21,7570285","17,523014"
435,"21,7629356","17,5228729"
436,"21,7702598","17,5232181"
437,"21,7811336","17,523302"
438,"21,7803211","17,5232601"
439,"21,7574176","17,5241909"
440,"21,7717647","17,5242538"
441,"21,7920112","17,5238494"
442,"21,8100337","17,5237102"
443,"21,8093662","17,523941"
444,"21,8034496","17,5238189"
445,"21,8064689","17,5241909"
446,"21,8035831","17,5236091"
447,"21,8076438","17,5241565"
448,"21,7997455","17,5245513"
449,"21,8023281","17,5240077"
450,"21,8003425","17,5237579"
451,"21,8095932","17,5237236"
452,"21,8186016","17,523796"
453,"21,8122882","17,5241107"
454,"21,8235912","17,5238685"
455,"21,8314437","17,5239086"
456,"21,842493","17,5241756"
457,"21,8493576","17,5245208"
458,"21,8470993","17,5240211"
459,"21,8367004","17,524311"
460,"21,7697372","17,524332"
461,"21,719532","17,5248718"
462,"21,6952648","17,524559"
463,"21,6938209","17,5245399"
464,"21,6663379","17,5247879"
465,"21,6616287","17,5244045"
466,"21,6433811","17,5246257"
467,"21,6143074","17,5251369"
468,"21,6008987","17,524702"
469,"21,5763664","17,5241241"
470,"21,551897","17,5247764"
471,"21,5406684","17,524929"
472,"21,5574455","17,5251293"
473,"21,5629825","17,5249843"
474,"21,5579242","17,5251274"
475,"21,544178","17,5248622"
476,"21,5187454","17,5252342"
477,"21,5079784","17,5256099"
478,"21,4972763","17,5255908"
479,"21,5171985","17,5256347"
480,"21,5747299","17,5258789"
481,"21,5967788","17,5261573"
482,"21,6422233","17,5255947"
483,"21,6446838","17,5259723"
484,"21,6429901","17,5264434"
485,"21,6156101","17,5264205"
486,"21,6003189","17,5260429"
487,"21,5984458","17,5258808"
488,"21,6036624","17,5261859"
489,"21,5994205","17,526369"
490,"21,5898151","17,5260982"
491,"21,59519","17,5262031"
492,"21,6054859","17,5261325"
493,"21,6111087","17,5267047"
494,"21,6095294","17,5267791"
495,"21,5996189","17,5267639"
