t,V
748.885,8.2421
749.885,8.2373
750.885,8.2328
751.885,8.2276
752.884,8.223
753.884,8.2192
754.884,8.2133
755.884,8.2087
756.884,8.2046
757.884,8.1995
758.884,8.1954
759.884,8.1904
760.884,8.186
761.885,8.1812
762.884,8.1769
763.885,8.1723
764.885,8.1666
765.885,8.1626
766.884,8.1571
767.885,8.1531
768.885,8.1481
769.885,8.144
770.885,8.1392
771.885,8.134
772.885,8.1294
773.885,8.1243
774.885,8.1204
775.885,8.115
776.885,8.111
777.885,8.1064
778.885,8.102
779.885,8.0972
780.885,8.0938
781.885,8.0892
782.885,8.0859
783.885,8.0799
784.885,8.0757
785.885,8.0724
786.885,8.0678
787.885,8.0634
788.885,8.0595
789.885,8.055
790.885,8.0512
791.884,8.0468
792.885,8.0429
793.884,8.0386
